Time,Polarity,Subjectivity,Open,Close,High,Low,VolumeCoin,VolumeUSD,S&P500 Close,S&P500 Volume,USDEuro,Litecoin,Ethereum
2019-07-25 20:15,0.23734848484848486,0.225,9850.31,9686.81,9850.81,9682.0,1502.42,14608223.19,3003.6001,120288831,,218.89,93.06
2019-07-25 20:20,0.03827160493827161,0.13765432098765432,9686.81,9723.34,9737.21,9682.61,816.95,7930548.74,3003.6001,120288831,,215.38,91.84
2019-07-25 20:25,0.08499999999999999,0.29833333333333334,9723.34,9698.01,9731.86,9692.01,330.71,3208403.24,3003.6001,120288831,,216.58,92.1
2019-07-25 20:30,0.22788961038961036,0.3137987012987013,9698.01,9717.78,9754.48,9676.47,669.5,6499912.65,3003.6001,120288831,,215.98,91.78
2019-07-25 20:35,0.12928030303030302,0.29875,9717.78,9723.6,9731.72,9716.61,129.82,1261895.66,3003.6001,120288831,,216.42,91.93
2019-07-25 20:40,0.14884259259259258,0.25462962962962965,9723.6,9726.5,9728.71,9721.06,64.7,629239.5,3003.6001,120288831,,216.48,91.93
2019-07-25 20:45,0.10901515151515151,0.19583333333333333,9726.5,9720.52,9727.23,9696.98,175.79,1705921.18,3003.6001,120288831,,216.35,91.94
2019-07-25 20:50,-0.0375,0.1625,9720.52,9727.0,9727.69,9719.49,45.0,437290.06,3003.6001,120288831,,215.72,91.93
2019-07-25 20:55,0.10515151515151515,0.3196212121212121,9727.0,9728.05,9735.32,9718.87,70.85,689868.76,3003.6001,120288831,,215.72,91.94
2019-07-25 21:00,0.07169704861111112,0.16555555555555554,9728.05,9701.46,9736.85,9701.45,129.62,1260122.52,3003.6001,120288831,,216.43,92.02
2019-07-25 21:05,0.10998000841750841,0.23333333333333334,9701.46,9724.5,9726.34,9701.43,81.07,787030.58,3003.6001,120288831,,215.8,91.89
2019-07-25 21:10,0.07113636363636364,0.29170454545454544,9724.5,9718.67,9726.71,9716.85,53.42,521997.88,3003.6001,120288831,,215.24,91.58
2019-07-25 21:15,0.21053030303030304,0.43000000000000005,9718.67,9708.16,9721.69,9705.91,58.22,565271.51,3003.6001,120288831,,215.3,91.6
2019-07-25 21:20,0.09226190476190475,0.25946428571428565,9708.16,9691.83,9711.37,9691.04,160.07,1553389.25,3003.6001,120288831,,214.18,91.52
2019-07-25 21:25,0.06,0.17750000000000002,9691.83,9706.17,9707.12,9676.95,214.41,2076103.31,3003.6001,120288831,,213.31,91.22
2019-07-25 21:30,0.3491666666666667,0.4377777777777777,9706.17,9706.58,9709.19,9703.1,76.16,739678.52,3003.6001,120288831,,214.32,91.42
2019-07-25 21:35,0.3333333333333333,0.26666666666666666,9706.58,9705.44,9715.54,9699.1,48.46,470581.11,3003.6001,120288831,,214.38,91.49
2019-07-25 21:40,0.13,0.23833333333333337,9705.44,9710.0,9715.37,9705.21,69.26,672718.74,3003.6001,120288831,,214.14,91.44
2019-07-25 21:45,0.18726262626262627,0.316449494949495,9710.0,9709.02,9718.12,9705.82,57.39,557280.39,3003.6001,120288831,,214.09,91.37
2019-07-25 21:50,0.17032828282828283,0.2542424242424242,9709.02,9720.24,9722.96,9708.33,109.85,1067467.85,3003.6001,120288831,,214.51,91.43
2019-07-25 21:55,0.08204545454545456,0.2843181818181818,9720.24,9726.96,9732.49,9719.75,57.81,563733.28,3003.6001,120288831,,214.52,91.53
2019-07-25 22:00,0.1019047619047619,0.1819047619047619,9726.96,9712.8,9728.63,9702.8,132.05,1282322.13,3003.6001,120288831,,214.85,91.6
2019-07-25 22:05,0.03234848484848485,0.22666666666666666,9712.8,9718.34,9718.36,9705.7,92.71,899982.19,3003.6001,120288831,,214.56,91.49
2019-07-25 22:10,0.1585016835016835,0.37617845117845117,9718.34,9725.12,9725.68,9714.16,78.49,765977.4,3003.6001,120288831,,214.81,91.47
