Time,Polarity,Subjectivity,Open,Close,High,Low,VolumeCoin,VolumeUSD,S&P500 Close,S&P500 Volume,USDEuro
2019-07-22 21:35,0.1885683760683761,0.5992521367521367,215.58,215.26,215.67,215.24,400.5,86320.11,2984.8899,106771204,
2019-07-22 21:40,0.17592592592592593,0.17592592592592593,215.26,215.58,215.59,215.22,173.76,37470.66,2984.8899,106771204,
2019-07-22 21:45,0.004444444444444443,0.11888888888888889,215.58,215.6,215.66,215.49,238.88,51522.8,2984.8899,106771204,
2019-07-22 21:50,0.06866096866096866,0.44045584045584046,215.6,215.19,215.67,215.18,304.86,65642.77,2984.8899,106771204,
2019-07-22 21:55,0.10925925925925925,0.2611111111111111,215.19,214.97,215.23,214.91,111.74,24051.45,2984.8899,106771204,
2019-07-22 22:00,0.2053030303030303,0.3007575757575758,214.97,215.32,215.32,214.97,268.94,57906.12,2984.8899,106771204,
2019-07-22 22:05,0.035521885521885524,0.2560606060606061,215.32,215.34,215.44,215.27,89.85,19366.75,2984.8899,106771204,
2019-07-22 22:10,0.17753787878787877,0.4549873737373737,215.34,215.27,215.35,215.26,181.08,38994.07,2984.8899,106771204,
2019-07-22 22:15,0.10499999999999998,0.24500000000000002,215.27,215.38,215.38,215.01,572.48,123138.58,2984.8899,106771204,
2019-07-22 22:20,0.15694444444444444,0.5722222222222222,215.38,215.76,216.08,215.3,860.22,185731.28,2984.8899,106771204,
2019-07-22 22:25,0.16250000000000003,0.2725,215.76,215.79,216.05,215.73,212.38,45846.73,2984.8899,106771204,
2019-07-22 22:30,0.08572261072261073,0.4323426573426573,215.79,216.29,216.54,215.72,1984.1,428882.97,2984.8899,106771204,
2019-07-22 22:35,0.14325396825396827,0.3492063492063492,216.29,216.02,216.29,215.87,420.76,90880.28,2984.8899,106771204,
2019-07-22 22:40,0.24527417027417028,0.4723544973544974,216.02,216.74,216.82,216.02,324.37,70264.56,2984.8899,106771204,
2019-07-22 22:45,0.07262820512820514,0.19002136752136753,216.74,216.76,216.85,216.68,202.04,43826.67,2984.8899,106771204,
2019-07-22 22:50,0.21571969696969698,0.45545454545454545,216.76,217.17,217.26,216.69,471.28,102357.96,2984.8899,106771204,
2019-07-22 22:55,0.19062500000000004,0.44166666666666665,217.17,217.03,217.18,216.9,143.36,31129.51,2984.8899,106771204,
2019-07-22 23:00,0.12962962962962962,0.2222222222222222,217.03,216.68,217.04,216.58,190.96,41411.22,2984.8899,106771204,
2019-07-22 23:05,0.2111111111111111,0.41435185185185186,216.68,217.03,217.13,216.67,183.28,39770.38,2984.8899,106771204,
2019-07-22 23:10,0.090239898989899,0.2798737373737374,217.03,216.72,217.06,216.72,254.56,55205.06,2984.8899,106771204,
2019-07-22 23:15,0.35328282828282825,0.5820075757575758,216.72,216.56,216.79,216.56,307.91,66700.92,2984.8899,106771204,
2019-07-22 23:20,0.0480952380952381,0.37761904761904763,216.56,216.71,216.72,216.45,235.23,50961.46,2984.8899,106771204,
2019-07-22 23:25,0.29422619047619053,0.5952678571428572,216.71,216.65,216.72,216.54,204.28,44276.23,2984.8899,106771204,
2019-07-22 23:30,0.022222222222222227,0.14722222222222225,216.65,216.85,216.86,216.53,289.66,62789.03,2984.8899,106771204,
2019-07-22 23:35,0.06951433982683983,0.2637581168831169,216.85,216.96,217.06,216.83,114.74,24914.06,2984.8899,106771204,
2019-07-22 23:40,0.0932010582010582,0.253042328042328,216.96,216.99,216.99,216.96,68.44,14897.11,2984.8899,106771204,
2019-07-22 23:45,0.12030303030303031,0.24545454545454545,216.99,216.86,217.02,216.67,254.37,55181.75,2984.8899,106771204,
2019-07-22 23:50,0.10416666666666666,0.4055555555555555,216.86,216.8,216.98,216.77,176.24,38241.89,2984.8899,106771204,
2019-07-22 23:55,0.014646464646464654,0.1951178451178451,216.8,216.35,216.8,216.35,318.02,68882.53,2984.8899,106771204,
2019-07-23 00:00,0.022748917748917748,0.13614718614718616,216.35,216.42,216.54,216.29,539.36,116730.01,2984.8899,106771204,
2019-07-23 00:05,0.0009259259259259288,0.14814814814814817,216.42,216.49,216.49,216.32,232.24,50264.3,2984.8899,106771204,
2019-07-23 00:10,0.09196969696969697,0.3087878787878788,216.49,216.1,216.54,216.1,309.23,66909.61,2984.8899,106771204,
2019-07-23 00:15,0.15139083139083137,0.2746930846930847,216.1,216.07,216.32,215.95,450.83,97424.29,2984.8899,106771204,
2019-07-23 00:20,-0.022436668270001604,0.31196889530222865,216.07,216.32,216.4,216.01,190.38,41157.46,2984.8899,106771204,
2019-07-23 00:25,0.28413636363636363,0.43278787878787883,216.32,215.74,216.32,215.67,1466.97,316472.55,2984.8899,106771204,
2019-07-23 00:30,0.125,0.18333333333333335,215.74,216.14,216.16,215.6,541.4,116964.41,2984.8899,106771204,
2019-07-23 00:35,0.06166666666666667,0.18666666666666668,216.14,216.29,216.35,216.13,253.8,54909.18,2984.8899,106771204,
2019-07-23 00:40,0.135,0.4494444444444444,216.29,216.21,216.3,216.16,206.12,44677.21,2984.8899,106771204,
2019-07-23 00:45,0.07636784511784511,0.3074915824915825,216.21,216.36,216.42,216.21,328.22,71025.81,2984.8899,106771204,
2019-07-23 00:50,0.07936507936507936,0.12698412698412698,216.36,216.46,216.55,216.33,421.2,91154.03,2984.8899,106771204,
2019-07-23 00:55,0.16418398268398265,0.32527597402597397,216.46,216.35,216.46,216.34,141.52,30657.39,2984.8899,106771204,
2019-07-23 01:00,0.15688636363636363,0.43024891774891777,216.35,216.3,216.43,216.29,981.0,212173.01,2984.8899,106771204,
2019-07-23 01:05,0.1125,0.2282986111111111,216.3,216.29,216.53,216.29,306.1,66235.7,2984.8899,106771204,
2019-07-23 01:10,0.1111111111111111,0.2305555555555555,216.29,216.27,216.38,216.27,160.86,34850.31,2984.8899,106771204,
2019-07-23 01:15,0.31683501683501686,0.4308641975308642,216.27,215.35,216.29,215.35,573.98,123863.47,2984.8899,106771204,
2019-07-23 01:20,0.05392561983471075,0.20702479338842975,215.35,215.27,215.59,215.27,426.05,91784.92,2984.8899,106771204,
2019-07-23 01:25,0.0875,0.15925925925925927,215.27,214.22,215.27,214.2,1561.16,335024.09,2984.8899,106771204,
2019-07-23 01:30,0.15225378787878788,0.29511363636363636,214.22,214.32,214.72,214.22,352.44,75621.45,2984.8899,106771204,
2019-07-23 01:35,0.015000000000000003,0.045,214.32,214.26,214.42,214.02,857.52,183716.81,2984.8899,106771204,
2019-07-23 01:40,0.06212121212121211,0.20928030303030304,214.26,213.85,214.32,213.57,1095.17,234057.31,2984.8899,106771204,
2019-07-23 01:45,0.05808080808080808,0.15039281705948374,213.85,214.45,214.5,213.33,1528.64,326882.99,2984.8899,106771204,
2019-07-23 01:50,0.2168181818181818,0.42527777777777775,214.45,214.24,214.52,214.24,248.74,53314.13,2984.8899,106771204,
2019-07-23 01:55,0.19996969696969696,0.46545454545454545,214.24,214.38,214.39,214.13,209.15,44845.63,2984.8899,106771204,
2019-07-23 02:00,0.205,0.3474116161616162,214.38,214.72,214.75,214.38,224.91,48299.2,2984.8899,106771204,
2019-07-23 02:05,0.10595238095238095,0.21785714285714283,214.72,214.91,214.97,214.72,384.42,82623.43,2984.8899,106771204,
2019-07-23 02:10,0.053636363636363635,0.22545454545454544,214.91,213.64,214.91,213.64,1453.76,311459.33,2984.8899,106771204,
2019-07-23 02:15,0.08333333333333333,0.1734567901234568,213.64,213.38,213.69,213.19,892.43,190436.86,2984.8899,106771204,
2019-07-23 02:20,0.05830687830687831,0.18455026455026455,213.38,213.1,213.7,213.08,473.61,101040.89,2984.8899,106771204,
2019-07-23 02:25,0.10995670995670996,0.3308080808080808,213.1,212.93,213.21,211.94,3979.33,845088.36,2984.8899,106771204,
2019-07-23 02:30,0.02142857142857143,0.07428571428571429,212.93,212.51,213.12,212.23,1834.12,389940.77,2984.8899,106771204,
2019-07-23 02:35,0.33089225589225585,0.5256593714927048,212.51,211.44,212.64,211.27,7673.91,1623628.94,2984.8899,106771204,
2019-07-23 02:40,0.06363636363636364,0.18545454545454546,211.44,212.25,212.44,211.44,1977.44,419401.89,2984.8899,106771204,
2019-07-23 02:45,0.1778030303030303,0.3379545454545455,212.25,211.62,212.75,211.54,2946.66,624949.01,2984.8899,106771204,
2019-07-23 02:50,0.00060606060606061,0.22674242424242425,211.62,211.37,211.98,211.37,1550.31,328063.23,2984.8899,106771204,
2019-07-23 02:55,0.09727272727272725,0.32535353535353534,211.37,211.86,211.99,211.06,2218.89,469641.32,2984.8899,106771204,
2019-07-23 03:00,0.03601388888888889,0.17097222222222222,211.86,212.16,212.23,211.86,1088.58,230828.61,2984.8899,106771204,
2019-07-23 03:05,0.1457070707070707,0.3468013468013468,212.16,213.98,214.69,212.16,10941.78,2342497.63,2984.8899,106771204,
2019-07-23 03:10,0.08223484848484848,0.35522727272727267,213.98,213.78,214.05,213.59,1152.57,246373.76,2984.8899,106771204,
2019-07-23 03:15,0.11171969696969697,0.2677878787878788,213.78,213.44,213.78,213.43,274.27,58550.83,2984.8899,106771204,
2019-07-23 03:20,0.027777777777777783,0.19444444444444445,213.44,213.82,214.01,213.38,3962.13,846962.07,2984.8899,106771204,
2019-07-23 03:25,0.0825,0.31,213.82,212.71,213.82,212.54,1750.27,372645.53,2984.8899,106771204,
2019-07-23 03:30,0.01965909090909091,0.2131818181818182,212.71,212.25,212.93,212.25,1058.56,225092.93,2984.8899,106771204,
2019-07-23 03:35,0.12081439393939394,0.41590909090909084,212.25,212.55,212.76,212.25,697.81,148290.27,2984.8899,106771204,
2019-07-23 03:40,0.03409090909090909,0.11363636363636363,212.55,211.97,212.57,211.91,2542.02,539144.99,2984.8899,106771204,
2019-07-23 03:45,0.03409090909090909,0.11363636363636363,211.97,212.44,212.44,211.79,1952.93,413862.08,2984.8899,106771204,
2019-07-23 03:50,0.03409090909090909,0.11363636363636363,212.44,212.2,212.59,212.16,804.04,170833.14,2984.8899,106771204,
2019-07-23 03:55,0.03409090909090909,0.11363636363636363,212.2,212.03,212.34,212.0,631.71,134010.46,2984.8899,106771204,
2019-07-23 04:00,0.03409090909090909,0.11363636363636363,212.03,212.65,212.76,211.97,460.22,97715.22,2984.8899,106771204,
2019-07-23 04:05,0.03409090909090909,0.11363636363636363,212.65,212.65,212.67,212.32,638.61,135698.04,2984.8899,106771204,
2019-07-23 04:10,0.03409090909090909,0.11363636363636363,212.65,212.94,213.15,212.61,723.88,154170.94,2984.8899,106771204,
2019-07-23 04:15,0.03409090909090909,0.11363636363636363,212.94,212.49,213.09,212.49,1395.46,296995.36,2984.8899,106771204,
2019-07-23 04:20,0.03409090909090909,0.11363636363636363,212.49,212.82,212.99,212.48,478.57,101897.46,2984.8899,106771204,
2019-07-23 04:25,0.03409090909090909,0.11363636363636363,212.82,211.69,212.82,211.33,3560.61,754347.2,2984.8899,106771204,
2019-07-23 04:30,0.03409090909090909,0.11363636363636363,211.69,211.65,211.98,211.56,896.07,189733.41,2984.8899,106771204,
2019-07-23 04:35,0.03409090909090909,0.11363636363636363,211.65,211.57,211.74,211.14,960.87,203123.02,2984.8899,106771204,
2019-07-23 04:40,0.03409090909090909,0.11363636363636363,211.57,211.07,211.64,210.86,1416.43,298877.84,2984.8899,106771204,
2019-07-23 04:45,0.03409090909090909,0.11363636363636363,211.07,211.31,211.36,210.93,793.26,167538.34,2984.8899,106771204,
2019-07-23 04:50,0.03409090909090909,0.11363636363636363,211.31,210.84,211.72,210.77,1446.45,305231.48,2984.8899,106771204,
2019-07-23 04:55,0.03409090909090909,0.11363636363636363,210.84,210.33,210.86,210.06,8937.78,1877588.82,2984.8899,106771204,
2019-07-23 05:00,0.03409090909090909,0.11363636363636363,210.33,210.21,210.64,210.21,1550.23,325829.75,2984.8899,106771204,
2019-07-23 05:05,0.03409090909090909,0.11363636363636363,210.21,209.91,210.55,209.87,2177.77,457489.27,2984.8899,106771204,
2019-07-23 05:10,0.03409090909090909,0.11363636363636363,209.91,209.16,210.01,208.94,2802.16,586752.47,2984.8899,106771204,
2019-07-23 05:15,0.03409090909090909,0.11363636363636363,209.16,209.99,210.02,209.05,946.98,198521.58,2984.8899,106771204,
2019-07-23 05:20,0.03409090909090909,0.11363636363636363,209.99,210.59,210.73,209.99,756.69,159348.16,2984.8899,106771204,
2019-07-23 05:25,0.03409090909090909,0.11363636363636363,210.59,210.35,210.59,210.27,646.5,135978.9,2984.8899,106771204,
2019-07-23 05:30,0.03409090909090909,0.11363636363636363,210.35,210.1,210.48,209.98,1204.33,253317.03,2984.8899,106771204,
2019-07-23 05:35,0.03409090909090909,0.11363636363636363,210.1,210.19,210.54,210.1,267.1,56209.99,2984.8899,106771204,
2019-07-23 05:40,0.03409090909090909,0.11363636363636363,210.19,210.73,210.73,210.09,926.24,194762.29,2984.8899,106771204,
2019-07-23 05:45,0.03409090909090909,0.11363636363636363,210.73,210.33,210.76,210.13,645.06,135760.92,2984.8899,106771204,
2019-07-23 05:50,0.03409090909090909,0.11363636363636363,210.33,210.09,210.34,210.09,108.39,22821.3,2984.8899,106771204,
2019-07-23 05:55,0.03409090909090909,0.11363636363636363,210.09,210.28,210.33,209.98,534.53,112356.38,2984.8899,106771204,
2019-07-23 06:00,0.03409090909090909,0.11363636363636363,210.28,211.15,211.15,210.25,584.17,123258.69,2984.8899,106771204,
2019-07-23 06:05,0.03409090909090909,0.11363636363636363,211.15,211.02,211.5,211.0,969.73,204872.59,2984.8899,106771204,
2019-07-23 06:10,0.03409090909090909,0.11363636363636363,211.02,210.87,211.02,210.74,227.74,48079.23,2984.8899,106771204,
2019-07-23 06:15,0.03409090909090909,0.11363636363636363,210.87,210.25,210.87,210.24,377.3,79416.07,2984.8899,106771204,
2019-07-23 06:20,0.03409090909090909,0.11363636363636363,210.25,210.55,210.65,210.24,232.97,49068.09,2984.8899,106771204,
2019-07-23 06:25,0.03409090909090909,0.11363636363636363,210.55,210.42,210.71,210.32,312.98,65874.35,2984.8899,106771204,
2019-07-23 06:30,0.03409090909090909,0.11363636363636363,210.42,209.73,210.5,209.72,672.96,141321.3,2984.8899,106771204,
2019-07-23 06:35,0.03409090909090909,0.11363636363636363,209.73,210.14,210.21,209.73,421.58,88576.39,2984.8899,106771204,
2019-07-23 06:40,0.03409090909090909,0.11363636363636363,210.14,209.85,210.14,209.85,393.95,82728.89,2984.8899,106771204,
2019-07-23 06:45,0.03409090909090909,0.11363636363636363,209.85,210.05,210.28,209.83,349.86,73510.71,2984.8899,106771204,
2019-07-23 06:50,0.03409090909090909,0.11363636363636363,210.05,210.05,210.16,209.1,1557.85,326493.54,2984.8899,106771204,
2019-07-23 06:55,0.03409090909090909,0.11363636363636363,210.05,211.76,212.15,210.05,1904.52,402673.64,2984.8899,106771204,
2019-07-23 07:00,0.03409090909090909,0.11363636363636363,211.76,212.05,212.62,211.74,1573.43,333944.41,2984.8899,106771204,
2019-07-23 07:05,0.03409090909090909,0.11363636363636363,212.05,212.51,213.2,212.01,1809.42,384562.51,2984.8899,106771204,
2019-07-23 07:10,0.03409090909090909,0.11363636363636363,212.51,212.18,212.55,212.15,684.65,145407.8,2984.8899,106771204,
2019-07-23 07:15,0.03409090909090909,0.11363636363636363,212.18,212.2,212.66,212.18,731.68,155494.59,2984.8899,106771204,
2019-07-23 07:20,0.03409090909090909,0.11363636363636363,212.2,212.2,212.21,211.94,765.39,162287.79,2984.8899,106771204,
2019-07-23 07:25,0.03409090909090909,0.11363636363636363,212.2,211.59,212.2,211.59,579.02,122675.57,2984.8899,106771204,
2019-07-23 07:30,0.03409090909090909,0.11363636363636363,211.59,212.05,212.09,211.45,681.66,144478.51,2984.8899,106771204,
2019-07-23 07:35,0.03409090909090909,0.11363636363636363,212.05,211.72,212.05,211.57,963.37,203994.8,2984.8899,106771204,
2019-07-23 07:40,0.03409090909090909,0.11363636363636363,211.72,212.25,212.31,211.71,402.03,85275.25,2984.8899,106771204,
2019-07-23 07:45,0.03409090909090909,0.11363636363636363,212.25,211.72,212.3,211.64,809.88,171503.46,2984.8899,106771204,
2019-07-23 07:50,0.03409090909090909,0.11363636363636363,211.72,211.76,211.94,211.67,429.42,90926.23,2984.8899,106771204,
2019-07-23 07:55,0.03409090909090909,0.11363636363636363,211.76,212.22,212.26,211.76,1654.34,351188.9,2984.8899,106771204,
2019-07-23 08:00,0.03409090909090909,0.11363636363636363,212.22,213.13,213.19,212.22,3067.97,653970.88,2984.8899,106771204,
2019-07-23 08:05,0.03409090909090909,0.11363636363636363,213.13,212.53,213.13,212.53,1435.4,305528.46,2984.8899,106771204,
2019-07-23 08:10,0.03409090909090909,0.11363636363636363,212.53,212.05,212.56,212.02,1266.03,268921.31,2984.8899,106771204,
2019-07-23 08:15,0.03409090909090909,0.11363636363636363,212.05,211.44,212.19,211.35,1148.54,243063.68,2984.8899,106771204,
2019-07-23 08:20,0.03409090909090909,0.11363636363636363,211.44,211.27,211.58,211.05,556.83,117631.73,2984.8899,106771204,
2019-07-23 08:25,0.03409090909090909,0.11363636363636363,211.27,211.27,211.39,211.17,1378.1,291249.19,2984.8899,106771204,
2019-07-23 08:30,0.03409090909090909,0.11363636363636363,211.27,211.6,211.74,211.27,785.52,166296.8,2984.8899,106771204,
2019-07-23 08:35,0.03409090909090909,0.11363636363636363,211.6,211.67,211.7,211.57,350.39,74142.15,2984.8899,106771204,
2019-07-23 08:40,0.03409090909090909,0.11363636363636363,211.67,211.8,211.84,211.6,394.32,83538.63,2984.8899,106771204,
2019-07-23 08:45,0.03409090909090909,0.11363636363636363,211.8,212.08,212.24,211.75,739.55,156888.35,2984.8899,106771204,
2019-07-23 08:50,0.03409090909090909,0.11363636363636363,212.08,212.01,212.08,211.97,627.38,132969.1,2984.8899,106771204,
2019-07-23 08:55,0.03409090909090909,0.11363636363636363,212.01,211.97,212.11,211.97,844.16,178956.25,2984.8899,106771204,
2019-07-23 09:00,0.03409090909090909,0.11363636363636363,211.97,211.35,212.11,211.35,637.25,134911.33,2984.8899,106771204,
2019-07-23 09:05,0.03409090909090909,0.11363636363636363,211.35,210.94,211.35,210.7,1412.05,297730.31,2984.8899,106771204,
2019-07-23 09:10,0.03409090909090909,0.11363636363636363,210.94,211.19,211.28,210.81,779.98,164663.62,2984.8899,106771204,
2019-07-23 09:15,0.03409090909090909,0.11363636363636363,211.19,210.53,211.25,210.53,681.31,143596.26,2984.8899,106771204,
2019-07-23 09:20,0.03409090909090909,0.11363636363636363,210.53,210.11,210.57,209.91,1804.82,379244.56,2984.8899,106771204,
2019-07-23 09:25,0.03409090909090909,0.11363636363636363,210.11,209.72,210.15,209.71,1119.58,234977.6,2984.8899,106771204,
2019-07-23 09:30,0.03409090909090909,0.11363636363636363,209.72,209.06,209.82,208.55,2769.97,578672.98,2984.8899,106771204,
2019-07-23 09:35,0.03409090909090909,0.11363636363636363,209.06,209.97,210.13,209.06,1297.04,272258.39,2995.9299,0,
2019-07-23 09:40,0.03409090909090909,0.11363636363636363,209.97,209.82,210.08,209.57,865.23,181572.47,2993.2400,35777041,
2019-07-23 09:45,0.03409090909090909,0.11363636363636363,209.82,210.24,210.24,209.74,539.37,113305.59,2995.5701,34441822,
2019-07-23 09:50,0.03409090909090909,0.11363636363636363,210.24,210.78,210.78,210.2,812.25,171033.57,2994.5500,37805928,
2019-07-23 09:55,0.03409090909090909,0.11363636363636363,210.78,210.77,211.14,210.73,1123.8,237100.68,2992.7700,32751027,
2019-07-23 10:00,0.03409090909090909,0.11363636363636363,210.77,210.34,210.78,210.14,558.34,117448.45,2992.0601,24559012,
2019-07-23 10:05,0.03409090909090909,0.11363636363636363,210.34,210.15,210.6,210.14,783.08,164682.33,2991.8601,27652458,
2019-07-23 10:10,0.03409090909090909,0.11363636363636363,210.15,209.58,210.27,209.49,1018.29,213592.92,2990.5100,23949597,
2019-07-23 10:15,0.03409090909090909,0.11363636363636363,209.58,210.2,210.2,209.3,686.25,143969.19,2989.8000,23669032,
2019-07-23 10:20,0.03409090909090909,0.11363636363636363,210.2,210.51,210.52,210.01,773.48,162632.0,2990.1101,23751996,
2019-07-23 10:25,0.03409090909090909,0.11363636363636363,210.51,210.76,210.89,210.44,524.5,110597.62,2989.9900,23011716,
2019-07-23 10:30,0.03409090909090909,0.11363636363636363,210.76,211.06,211.1,210.71,672.43,141817.02,2990.2900,18143534,
2019-07-23 10:35,0.03409090909090909,0.11363636363636363,211.06,211.58,211.87,211.06,1845.95,390813.27,2992.7100,22425646,
2019-07-23 10:40,0.03409090909090909,0.11363636363636363,211.58,211.13,211.58,210.94,483.58,102168.67,2993.3000,25838622,
2019-07-23 10:45,0.03409090909090909,0.11363636363636363,211.13,210.87,211.22,210.87,1549.25,326867.49,2993.9199,19527121,
2019-07-23 10:50,0.03409090909090909,0.11363636363636363,210.87,211.21,211.37,210.85,1140.41,240785.69,2993.2100,19380905,
2019-07-23 10:55,0.03409090909090909,0.11363636363636363,211.21,211.5,211.5,211.12,2141.05,452341.81,2993.3000,19389647,
2019-07-23 11:00,0.03409090909090909,0.11363636363636363,211.5,212.62,213.0,211.36,8350.43,1781454.1,2994.5400,17214858,
2019-07-23 11:05,0.03409090909090909,0.11363636363636363,212.62,211.9,212.79,211.87,1265.15,268772.78,2991.4299,20403737,
2019-07-23 11:10,0.03409090909090909,0.11363636363636363,211.9,211.4,211.92,211.35,478.29,101213.59,2991.4600,18159860,
